Item #,Description,Date Created,Due Date,Work Order #,Work Order Type,Status,Customer Name,SAPMaterial,Press,Press Priority,CSR,Sales Order,Quantity
I-004743-32,Business Cards (staff),2021-06-25,2021-06-30,6142,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-003308-02,TestoPlex Plus 60 C Labels,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003719,HP Indigo 6800B,3 - MEDIUM,,,4500
I-004551-01,PanXyme pH 90C - Labels,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003559,HP Indigo 6800B,3 - MEDIUM,,,1000
I-008633-02,Adrenaliv 60 C Labels,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003143,HP Indigo 6800B,3 - MEDIUM,,,2000
I-003299-02,CURCUPLEX-95 60C label,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003389,HP Indigo 6800B,3 - MEDIUM,,,6000
I-004553-03,Omega MonoPure 650 EC 60c - LABELS,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003512,HP Indigo 6800B,3 - MEDIUM,,,1000
I-013361-02,California TestoPlex Plus 60 C Labels,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003244,HP Indigo 6800B,3 - MEDIUM,,,500
I-004649-02,ColonX 60c Label,2021-08-05,2021-08-27,7126,Internal,Shipping,XYMO Print,200003381,HP Indigo 6800B,3 - MEDIUM,,,1000
I-004743-37,Business Cards (staff),2021-08-12,2021-08-20,7368,Internal,Bindery,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-024972,Banner Stand WSP MedPax,2021-08-17,2021-08-31,7473,Internal,Inspection,XYMO Print,300090214,HP Indigo 30000,Please Selection,karola.reyes@xymoprint.com,,2
I-024973,Banner Stand Private Label NOW,2021-08-17,2021-08-31,7474,Internal,Inspection,XYMO Print,300090197,HP Indigo 30000,3 - MEDIUM,karola.reyes@xymoprint.com,,2
I-027660,GastrAid 90c CAN LABEL 062121,2021-09-21,2021-10-01,8348,Internal,Shipping,XYMO Print,200083980,HP Indigo 6800B,3 - MEDIUM,,,6000
I-014639-02,CANADA Opti Mag 125 120C labels,2021-09-29,2021-10-20,8531,Internal,Shipping,XYMO Print,200003339,HP Indigo 6800B,3 - MEDIUM,,,2000
I-028416,ZMP-BOSCC-01,2021-09-30,2021-10-14,8551,Internal,Shipping,XYMO Print,200082031,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-028417,CoQmax Omega 100mg 60 C LABELS,2021-09-30,2021-10-07,8556,Internal,Shipping,XYMO Print,200003385,HP Indigo 6800B,3 - MEDIUM,,,6000
I-028592,ZMP-10062542-01,2021-10-01,2021-10-15,8595,Internal,Shipping,XYMO Print,200082906,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,202
I-007649-03,ZMP-HEALNCUREMEDICA-01,2021-10-01,2021-10-15,8596,Internal,Shipping,XYMO Print,200082684,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,150
I-004743-45,Business Cards (staff),2021-10-04,2021-10-11,8633,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-004743-46,Business Cards (staff),2021-10-05,2021-10-12,8655,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,3 - MEDIUM,Edward.Aponte@xymoprint.com,,500
I-028749,ZMP-10173359-01,2021-10-05,2021-10-19,8657,Internal,Shipping,XYMO Print,200084456,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-028750,Canada ProbioMax DF 30c Retail Carton,2021-10-05,2021-10-26,8661,Internal,Shipping,XYMO Print,200084206,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,4000
I-028755,ZMP-10183483-01,2021-10-05,2021-10-19,8656,Internal,Shipping,XYMO Print,200084455,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,316
I-028756,ZMP-10088300-01,2021-10-05,2021-10-19,8656,Internal,Shipping,XYMO Print,200084566,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,310
I-029046,MedCaps DPO Label 092721,2021-10-07,2021-10-27,8717,Internal,Shipping,XYMO Print,200084557,HP Indigo 6800B,3 - MEDIUM,,,6000
I-029047,California MedCaps DPO Label 092721,2021-10-07,2021-10-27,8717,Internal,Shipping,XYMO Print,200084559,HP Indigo 6800B,3 - MEDIUM,,,1000
I-029161,ZMP-DAVIJEFFR3-01,2021-10-11,2021-10-25,8775,Internal,Shipping,XYMO Print,200081282,HP Indigo 30000,3 - MEDIUM,Steve.DeLaCruz@xymoprint.com,,320
I-012899-02,RegeneMax Liquid 1oz  LABELS rewind #4,2021-10-12,2021-10-14,8793,Internal,Shipping,XYMO Print,200003613,HP Indigo 6800B,3 - MEDIUM,,,1800
I-029340,ZMP-LEVISAGEWELLNES-01,2021-10-13,2021-10-27,8826,Internal,Shipping,XYMO Print,200084599,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
I-026951-01,PoDiaPN 60c CARTON-03,2021-10-15,2021-11-11,8861,Internal,Shipping,XYMO Print,200083534,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,40000
I-026952-01,PoDiaPN 10c SAMPLE CARTON-03,2021-10-15,2021-11-11,8862,Internal,Shipping,XYMO Print,200083533,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,3000
I-007648-01,Canada ProbioMax Daily 30C Carton 090920,2021-10-15,2021-11-11,8863,Internal,Shipping,XYMO Print,200082494,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,4500
I-011124-01,Probiomax 350 DF  Stick Film,2021-10-15,2021-11-11,8867,Internal,Shipping,XYMO Print,200003029,HP Indigo 6800A,3 - MEDIUM,,,100000
I-029473,OptiCleanse PLUS Creamy CHOC SSP Film,2021-10-15,2021-11-11,8868,Internal,Shipping,XYMO Print,200082415,HP Indigo 6800A,3 - MEDIUM,,,40000
I-029474,ZMP-TRUBW-01,2021-10-15,2021-10-29,8869,Internal,Shipping,XYMO Print,200084615,HP Indigo 30000,3 - MEDIUM,Edward.Aponte@xymoprint.com,,300
